=================== Quantidade de Pontos Diferentes =====================
=========================== G1 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   49.5082    |    0.2453   |
Laplacian                 |   49.5082    |    0.2450   |
B-Spline                  |   47.5082    |    0.2309   |
Curvatura                 |   25.8033    |    0.0789   |
Curvatura + Laplacian     |   25.8033    |    0.0784   |
Curvatura + B-Spline      |   25.8033    |    0.0703   |
DouglasPeuker             |   9.95082    |    0.0199   |
DouglasPeuker + Laplacian |   9.95082    |    0.0213   |
DouglasPeuker + B-Spline  |   7.95082    |    0.0166   |
=========================== G2 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   37.5606    |    0.1944   |
Laplacian                 |   37.5606    |    0.1943   |
B-Spline                  |   35.5606    |    0.1810   |
Curvatura                 |   19.9242    |    0.0660   |
Curvatura + Laplacian     |   19.9242    |    0.0678   |
Curvatura + B-Spline      |   17.9242    |    0.0585   |
DouglasPeuker             |   6.93939    |    0.0173   |
DouglasPeuker + Laplacian |   6.93939    |    0.0177   |
DouglasPeuker + B-Spline  |   4.93939    |    0.0134   |
=========================== G3 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   93.2157    |    0.4346   |
Laplacian                 |   93.2157    |    0.4345   |
B-Spline                  |   91.2157    |    0.4150   |
Curvatura                 |   47.0980    |    0.1319   |
Curvatura + Laplacian     |   47.0980    |    0.1328   |
Curvatura + B-Spline      |   45.0980    |    0.1202   |
DouglasPeuker             |   13.5294    |    0.0279   |
DouglasPeuker + Laplacian |   13.5294    |    0.0296   |
DouglasPeuker + B-Spline  |   11.5294    |    0.0229   |
=========================== G4 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   77.5714    |    0.3645   |
Laplacian                 |   77.5714    |    0.3645   |
B-Spline                  |   75.5714    |    0.3574   |
Curvatura                 |   39.9524    |    0.1128   |
Curvatura + Laplacian     |   39.9524    |    0.1133   |
Curvatura + B-Spline      |   37.9524    |    0.1027   |
DouglasPeuker             |   16.5000    |    0.0274   |
DouglasPeuker + Laplacian |   16.5000    |    0.0291   |
DouglasPeuker + B-Spline  |   14.5000    |    0.0229   |
=========================== G5 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   79.6666    |    0.3759   |
Laplacian                 |   79.6666    |    0.3760   |
B-Spline                  |   77.6666    |    0.3602   |
Curvatura                 |   41.0666    |    0.1168   |
Curvatura + Laplacian     |   41.0666    |    0.1164   |
Curvatura + B-Spline      |   39.0666    |    0.1065   |
DouglasPeuker             |   14.8666    |    0.0258   |
DouglasPeuker + Laplacian |   14.8666    |    0.0262   |
DouglasPeuker + B-Spline  |   12.8666    |    0.0206   |
=========================== G6 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   72.6341    |    0.3422   |
Laplacian                 |   72.6341    |    0.3423   |
B-Spline                  |   70.6341    |    0.3258   |
Curvatura                 |   37.4878    |    0.1064   |
Curvatura + Laplacian     |   37.4878    |    0.1068   |
Curvatura + B-Spline      |   35.4878    |    0.1002   |
DouglasPeuker             |   13.6097    |    0.0249   |
DouglasPeuker + Laplacian |   13.6097    |    0.0239   |
DouglasPeuker + B-Spline  |   11.6097    |    0.0198   |
=========================== G7 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   76.5397    |    0.3609   |
Laplacian                 |   76.5397    |    0.3608   |
B-Spline                  |   74.5397    |    0.3473   |
Curvatura                 |   38.8730    |    0.1106   |
Curvatura + Laplacian     |   38.8730    |    0.1107   |
Curvatura + B-Spline      |   36.8730    |    0.1129   |
DouglasPeuker             |   11.2540    |    0.0243   |
DouglasPeuker + Laplacian |   11.2540    |    0.0243   |
DouglasPeuker + B-Spline  |   9.2540     |    0.0181   |

=================== Quantidade de Pontos Iguais =====================
=========================== G1 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   67	       |    0.3829   |
Laplacian                 |   67	       |    0.3714   |
B-Spline                  |   65	       |    0.3514   |
Curvatura                 |   34.9508    |    0.1156   |
Curvatura + Laplacian     |   34.9508    |    0.1159   |
Curvatura + B-Spline      |   32.9508    |    0.1057   |
DouglasPeuker             |   13.0164    |    0.0252   |
DouglasPeuker + Laplacian |   13.0164    |    0.0251   |
DouglasPeuker + B-Spline  |   11.0164    |    0.0207   |
=========================== G2 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   55	       |    0.3166   |
Laplacian                 |   55	       |    0.3128   |
B-Spline                  |   53	       |    0.2957   |
Curvatura                 |   28.9242    |    0.0987   |
Curvatura + Laplacian     |   28.9242	   |    0.0986   |
Curvatura + B-Spline      |   26.9242	   |    0.0890   |
DouglasPeuker             |   9.7879	   |    0.0217   |
DouglasPeuker + Laplacian |   9.7879	   |    0.0216   |
DouglasPeuker + B-Spline  |   7.7879	   |    0.0175   |
=========================== G3 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   100	       |    0.5363   |
Laplacian                 |   100        |    0.5348   |
B-Spline                  |   98	       |    0.5157   |
Curvatura                 |   51	       |    0.1605   |
Curvatura + Laplacian     |   51	       |    0.1602   |
Curvatura + B-Spline      |   49	       |    0.1484   |
DouglasPeuker             |   13.7255	   |    0.0299   |
DouglasPeuker + Laplacian |   13.7255	   |    0.0299   |
DouglasPeuker + B-Spline  |   11.7255	   |    0.0249   |
=========================== G4 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   76	       |    0.4144   |
Laplacian                 |   76	       |    0.4131   |
B-Spline                  |   74	       |    0.3945   |
Curvatura                 |   39	       |    0.1264   |
Curvatura + Laplacian     |   39	       |    0.1263   |
Curvatura + B-Spline      |   37	       |    0.1161   |
DouglasPeuker             |   17.0238	   |    0.0296   |
DouglasPeuker + Laplacian |   17.0238	   |    0.0296   |
DouglasPeuker + B-Spline  |   15.0238	   |    0.0249   |
=========================== G5 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   98         |    0.5269   |
Laplacian                 |   98	       |    0.5260   |
B-Spline                  |   96	       |    0.5068   |
Curvatura                 |   50	       |    0.1569   |
Curvatura + Laplacian     |   50	       |    0.1571   |
Curvatura + B-Spline      |   48	       |    0.1452   |
DouglasPeuker             |   17.8000	   |    0.0307   |
DouglasPeuker + Laplacian |   17.8000	   |    0.0307   |
DouglasPeuker + B-Spline  |   15.8000	   |    0.0259   |
=========================== G6 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   114	       |    0.6061   |
Laplacian                 |   114	       |    0.6019   |
B-Spline                  |   112	       |    0.5803   |
Curvatura                 |   57.9512	   |    0.1782   |
Curvatura + Laplacian     |   57.9512	   |    0.1781   |
Curvatura + B-Spline      |   55.9512	   |    0.1657   |
DouglasPeuker             |   20.6585	   |    0.0347   |
DouglasPeuker + Laplacian |   20.6585	   |    0.0344   |
DouglasPeuker + B-Spline  |   18.6585	   |    0.0292   |
=========================== G7 ===========================
                          | Média Pontos | Média Tempo |
Sem Processamento         |   87	       |    0.4708   |
Laplacian                 |   87	       |    0.4696   |
B-Spline                  |   85	       |    0.4487   |
Curvatura                 |   44.8412	   |    0.1424   |
Curvatura + Laplacian     |   44.8412	   |    0.1422   |
Curvatura + B-Spline      |   42.8412	   |    0.1314   |
DouglasPeuker             |   11.9206	   |    0.0255   |
DouglasPeuker + Laplacian |   11.9206	   |    0.0253   |
DouglasPeuker + B-Spline  |   9.9206	   |    0.0208   |
