gesture cancelar
152.219 320.9 1320.67
149.601 319.827 1321.86
148.028 322.142 1322.14
147.385 322.173 1321.68
147.071 322.625 1322.78
146.284 321.443 1322.93
144.799 321.035 1321.88
142.299 318.067 1321.61
141.703 314.406 1323.3
139.284 311.463 1320.25
138.703 308.385 1316.7
134.946 302.808 1314.52
127.54 291.562 1307.43
116.592 276.493 1298.41
97.2635 241.854 1290.55
77.2348 213.581 1276.08
53.0381 163.077 1266.45
28.1767 113.977 1261.34
0.177386 61.2788 1259.68
-28.837 13.651 1261.9
-56.6697 -27.6575 1264.67
-84.7915 -60.388 1270.8
-109.36 -86.4529 1277.62
-125.444 -104.041 1292.53
-142.381 -108.498 1302.59
-157.063 -102.441 1310.12
-172.831 -85.4961 1313.41
-179.684 -60.9083 1314.96
-177.299 -28.8981 1317.72
-179.481 10.7379 1319.12
-180.533 53.1501 1321.64
-209.682 122.129 1317.3
-197.175 161.698 1330.33
-194.996 209.862 1337.73
-185.663 245.296 1347.06
-173.289 276.502 1353.69
-152.332 286.394 1356.43
-136.494 299.159 1357.24
-121.45 304.854 1351.12
-106.908 311.439 1341.69
-86.9366 306.513 1325.41
-60.9191 278.362 1310.06
-35.8213 247.677 1293.07
-11.1435 219.66 1274.13
14.232 178.522 1259.46
41.2418 134.991 1248.62
67.7905 89.6469 1242.26
90.3937 56.0381 1236.05
109.971 18.2536 1240.75
126.761 -19.1455 1244.48
134.849 -45.491 1245.72
140.744 -66.4389 1248.77
145.463 -80.9085 1252.61
148.86 -92.7357 1256.9
149.976 -101.292 1261.05
151.77 -105.286 1263.4
151.148 -108.54 1264.59
152.283 -110.162 1265.16
155.273 -114.222 1267.26
154.302 -114.867 1267.06
154.749 -114.858 1267.06
153.972 -114.231 1266.2
152.75 -112.884 1264.69
153.479 -112.737 1265.46

gesture cancelar
141.918 305.515 1335.07
140.727 304.759 1333.33
140.993 303.779 1332.33
140.645 303.89 1331.35
140.31 303.126 1330.36
139.492 302.662 1329.21
136.012 300.777 1327.42
134.006 295.971 1321.51
128.954 290.763 1316.44
123.218 269.891 1314.19
112.561 248.939 1306.6
98.8434 224.641 1294.82
83.7507 196.74 1286.23
65.6688 163.84 1271.55
44.0414 118.317 1261.41
21.1292 60.562 1258.85
-2.51358 16.2237 1257.18
-29.9894 -29.1544 1256.73
-54.9404 -67.604 1262.34
-75.985 -98.575 1269.55
-92.2889 -119.613 1280.92
-109.894 -129.773 1287.73
-122.406 -125.489 1295.53
-135.923 -111.68 1296.25
-146.459 -86.7683 1294.4
-154.581 -52.3842 1294.47
-158.041 -14.2201 1295.16
-162.772 30.9748 1295.75
-161.15 75.7695 1300.07
-180.265 143.332 1297.25
-171.286 187.573 1308.78
-162.59 225.027 1318.72
-144.903 245.894 1328.95
-134.737 273.331 1332.69
-126.475 293.629 1334.47
-111.679 299.835 1332.87
-101.749 302.884 1324.17
-87.5754 299.851 1311.26
-68.9088 277.803 1297.49
-46.9538 241.683 1283.85
-24.4948 205.539 1267.35
-5.30086 171.112 1250.42
19.9816 126.886 1238.51
46.6163 77.4702 1234.42
68.2778 38.0331 1231.71
88.8855 -2.88908 1233.57
102.867 -30.6908 1235.37
116.313 -59.1902 1239.17
122.255 -75.8697 1239.83
129.265 -89.8056 1246.4
133.09 -97.7357 1249.14
135.098 -105.222 1253.36
139.702 -111.39 1257.5
139.729 -116.567 1260.37
139.38 -116.155 1260.09
140.034 -119.707 1260.2
140.202 -120.576 1262
139.581 -120.555 1262.13
139.259 -119.402 1262.25
139.165 -118.139 1261.82
140.095 -118.638 1261.32

